"city","stateprovincename","country","customerkey","geographykey","maritalstatus","yearlyincome","datefirstpurchase","fullname"
"Woodburn","Oregon","United States",11193,553,"M","60000.00","2022-02-25","Mr Ian Gray"
"Daly City","California","United States",23482,314,"M","110000.00","2022-11-26","Mrs Zoe Gray"
"Bremerton","Washington","United States",11012,611,"M","100000.00","2022-03-16","Mrs Lauren Walker"
"Lebanon","Oregon","United States",11013,543,"M","100000.00","2022-04-13","Mr Ian Jenkins"
"Redmond","Washington","United States",11014,634,"S","100000.00","2022-03-23","Ms Sydney Bennett"
"Burbank","California","United States",11015,301,"S","30000.00","2022-01-18","Ms Chloe Young"
"Imperial Beach","California","United States",11016,329,"M","30000.00","2022-02-09","Mr Wyatt Hill"
"Langley","British Columbia","Canada",11019,52,"S","40000.00","2022-02-12","Mr Luke Lal"
"Metchosin","British Columbia","Canada",11020,53,"S","40000.00","2021-12-29","Mr Jordan King"
"Beaverton","Oregon","United States",11021,536,"S","40000.00","2022-01-23","Ms Destiny Wilson"
"Bellingham","Washington","United States",11022,609,"M","40000.00","2022-01-20","Mr Ethan Zhang"
"Bellflower","California","United States",11023,298,"M","40000.00","2022-02-17","Mr Seth Edwards"
"Concord","California","United States",11024,311,"M","60000.00","2022-06-27","Mr Russell Xie"
"National City","California","United States",11036,343,"M","60000.00","2022-01-22","Mrs Jennifer Russell"
"Cliffside","British Columbia","Canada",11037,49,"S","40000.00","2022-01-20","Ms Chloe Garcia"
"Tacoma","Washington","United States",11040,642,"M","30000.00","2022-04-03","Mr Jesse Murphy"
"Glendale","California","United States",11041,325,"M","60000.00","2022-01-14","Mrs Amanda Carter"
"Los Angeles","California","United States",11042,338,"M","70000.00","2022-01-21","Mrs Megan Sanchez"
"Glendale","California","United States",11043,325,"M","60000.00","2022-05-08","Mr Nathan Simmons"
"Matraville","New South Wales","Australia",11045,8,"S","30000.00","2022-04-10","Mr Leonard Nara"
"Chula Vista","California","United States",11049,307,"S","40000.00","2022-03-09","Ms Carol Rai"
"Caloundra","Queensland","Australia",11051,21,"S","30000.00","2022-12-29","Mr Daniel Johnson"
"San Diego","California","United States",11053,359,"M","60000.00","2022-01-17","Mrs Ana Price"
"Townsville","Queensland","Australia",11059,27,"S","80000.00","2022-02-18","Ms Ashlee Andersen"
"Portland","Oregon","United States",11062,547,"M","40000.00","2022-01-07","Mr Noah Powell"
"Redmond","Washington","United States",11063,634,"S","40000.00","2022-01-12","Ms Angela Murphy"
